Version,"RVGL 21.0125a","P2P","Client"
Session,"08/01/21 21:08:47","ANB BGM","Arcade",3,"true"
Results,"Toy World 1",10
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SUS KIKI","Tempest","01:23:243","00:23:837","true","false"
02,"RBK MARRAX","Tempest","01:26:568","00:27:799","true","false"
03,"ANB POWERATE","Tempest","01:26:983","00:28:121","true","false"
04,"WAR MICHEL","Tempest","01:27:176","00:27:713","true","false"
05,"ANB BGM","Tempest","01:28:157","00:28:185","true","false"
06,"ZPL GORGON","Tempest","01:30:913","00:29:669","true","false"
07,"ZAP LOPESCA","Tempest","01:31:858","00:29:304","true","false"
08,"ZPL NUC","Tempest","01:32:607","00:29:204","true","false"
09,"ZPL LOQ","Tempest","01:33:251","00:30:245","true","false"
10,"NVK JONAY05","Tempest","01:36:141","00:30:501","true","false"
Results,"Casino RV",12
#,Player,Car,Time,BestLap,Finished,Cheating
01,"SUS KIKI","Pemto","02:25:167","00:45:349","true","false"
02,"WAR MICHEL","Pemto","02:29:665","00:48:750","true","false"
03,"ANB BGM","Pemto","02:33:536","00:47:514","true","false"
04,"ZAP LOPESCA","Pemto","02:44:328","00:54:092","true","false"
05,"ZPL GORGON","Pemto","02:45:092","00:53:435","true","false"
06,"WAR C.EMMANUEL","Pemto","02:46:912","00:53:489","true","false"
07,"ANB POWERATE","Pemto","02:55:171","00:53:675","true","false"
08,"ZPL NUC","Pemto","03:00:054","00:58:619","true","false"
09,"RBK MARRAX","Pemto","03:00:064","00:53:834","true","false"
10,"ZPL LOQ","Pemto","03:03:413","00:55:853","true","false"
11,"NVK JONAY05","Pemto","04:20:501","01:16:994","true","false"
Results,"Toy World 2",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR C.EMMANUEL","Clockwork Peak","01:48:640","00:34:665","true","false"
02,"SUS KIKI","Clockwork Peak","01:50:242","00:34:124","true","false"
03,"RBK TT","Clockwork Peak","01:52:812","00:36:099","true","false"
04,"ZPL GORGON","Clockwork Peak","01:53:990","00:35:882","true","false"
05,"WAR MICHEL","Clockwork Peak","01:54:216","00:34:990","true","false"
06,"RBK MARRAX","Clockwork Peak","01:54:519","00:36:906","true","false"
07,"ANB BGM","Clockwork Peak","01:57:374","00:37:267","true","false"
08,"ANB POWERATE","Clockwork Peak","02:00:899","00:34:991","true","false"
09,"RAL LINGOT","Clockwork Peak","02:04:242","00:38:875","true","false"
10,"NVK JONAY05","Clockwork Peak","02:05:029","00:38:709","true","false"
11,"ZPL LOQ","Clockwork Peak","02:05:623","00:36:818","true","false"
12,"ZPL NUC","Clockwork Peak","02:40:542","00:52:182","true","false"
Results,"Market Mayhem",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ZPL GORGON","Jet Spike","01:44:426","00:33:815","true","false"
02,"WAR C.EMMANUEL","Jet Spike","01:47:492","00:31:884","true","false"
03,"SUS KIKI","Jet Spike","01:51:614","00:34:919","true","false"
04,"ZAP LOPESCA","Jet Spike","01:52:792","00:37:179","true","false"
05,"ZPL LOQ","Jet Spike","01:53:597","00:36:246","true","false"
06,"WAR MICHEL","Jet Spike","01:54:172","00:34:778","true","false"
07,"ANB POWERATE","Jet Spike","01:54:817","00:34:214","true","false"
08,"ANB BGM","Jet Spike","01:58:774","00:35:870","true","false"
09,"RBK TT","Jet Spike","02:01:199","00:37:010","true","false"
10,"ZAP HONKA","Jet Spike","02:06:774","00:41:273","true","false"
11,"ZPL NUC","Jet Spike","02:10:716","00:41:772","true","false"
12,"RBK MARRAX","Jet Spike","02:12:293","00:40:082","true","false"
13,"RAL LINGOT","Jet Spike","02:40:746","00:50:147","true","false"
14,"NVK JONAY05","Jet Spike","02:56:257","00:49:098","false","false"
Results,"Ghost Town 1",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ANB BGM","RC-Erra","01:26:095","00:26:144","true","false"
02,"ZPL LOQ","RC-Erra","01:26:144","00:27:479","true","false"
03,"RBK TT","RC-Erra","01:26:326","00:25:186","true","false"
04,"ZAP HONKA","RC-Erra","01:27:819","00:26:816","true","false"
05,"RBK MARRAX","RC-Erra","01:27:963","00:26:584","true","false"
06,"ANB POWERATE","RC-Erra","01:29:623","00:26:231","true","false"
07,"WAR MICHEL","RC-Erra","01:30:379","00:28:284","true","false"
08,"ZPL NUC","RC-Erra","01:30:562","00:28:620","true","false"
09,"ZPL GORGON","RC-Erra","01:30:567","00:28:606","true","false"
10,"ZAP LOPESCA","RC-Erra","01:30:591","00:27:071","true","false"
11,"WAR C.EMMANUEL","RC-Erra","01:30:787","00:28:514","true","false"
