Version,"RVGL 21.0125a","P2P","Server"
Session,"08/13/21 19:01:53","BGM","Arcade",3,"true"
Results,"Toy World 1",6
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","01:29:728","00:24:854","true","false"
02,"TT","Clockwork Turbo","01:30:415","00:26:133","true","true"
03,"KIKI","Clockwork Rod","01:33:981","00:29:824","true","true"
04,"K6","Clockwork Rod","01:35:612","00:28:842","true","true"
05,"MARRAX","Clockwork Turbo","01:39:093","00:29:247","true","true"
06,"MACACOSKY","Clockwork Rod","01:42:940","00:31:899","true","true"
Results,"Casino RV",7
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","02:32:140","00:48:734","true","false"
02,"MACACOSKY","Clockwork Rod","02:39:855","00:51:702","true","true"
03,"KIKI","Clockwork Rod","02:40:975","00:51:378","true","true"
04,"GORGON","Clockwork Midget","02:50:316","00:53:202","true","true"
05,"TT","Clockwork Turbo","02:53:126","00:51:350","true","true"
06,"MARRAX","Clockwork Turbo","03:00:092","00:54:347","true","true"
07,"K6","Clockwork Rod","03:08:662","00:58:052","true","true"
Results,"Toy World 2",9
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","01:46:208","00:32:616","true","false"
02,"GORGON","Clockwork Midget","01:51:689","00:35:895","true","true"
03,"MARRAX","Clockwork Turbo","01:51:996","00:33:473","true","true"
04,"MACACOSKY","Clockwork Rod","01:54:628","00:36:370","true","true"
05,"KIKI","Clockwork Rod","01:56:141","00:34:487","true","true"
06,"LOQ","Clockwork Rod","02:01:868","00:37:370","true","true"
07,"TT","Clockwork Ghibli","02:03:673","00:39:286","true","true"
08,"HONKA","Clockwork Peak","02:04:957","00:39:827","true","true"
09,"K6","Clockwork Rod","02:06:988","00:35:897","true","true"
Results,"Market Mayhem",10
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","01:49:057","00:34:649","true","false"
02,"GORGON","Clockwork Midget","02:00:163","00:37:918","true","true"
03,"KIKI","Clockwork Rally","02:01:038","00:37:864","true","true"
04,"ESTEBANMZ","Clockwork Rod","02:05:644","00:39:373","true","true"
05,"LOQ","Clockwork Rod","02:08:197","00:41:830","true","true"
06,"MACACOSKY","Clockwork Rod","02:09:132","00:41:574","true","true"
07,"HONKA","Clockwork Peak","02:10:534","00:40:611","true","true"
08,"TT","Clockwork Peak","02:16:128","00:37:862","true","true"
09,"MARRAX","Clockwork Turbo","02:16:867","00:37:359","true","true"
10,"K6","Clockwork Rod","02:30:601","00:44:952","true","true"
Results,"Ghost Town 1",10
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","01:28:067","00:26:864","true","false"
02,"GORGON","Clockwork Midget","01:30:567","00:28:947","true","true"
03,"ESTEBANMZ","Clockwork Rod","01:34:193","00:29:315","true","true"
04,"HONKA","Clockwork Peak","01:36:469","00:28:733","true","true"
05,"KIKI","Clockwork Rally","01:37:407","00:28:766","true","true"
06,"LOQ","Clockwork Rod","01:38:274","00:32:119","true","true"
07,"MACACOSKY","Clockwork Rod","01:40:907","00:25:744","true","true"
08,"MARRAX","Clockwork Turbo","01:42:973","00:26:603","true","true"
09,"K6","Clockwork Rod","01:50:007","00:35:675","true","true"
Results,"Rooftops 1",11
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","03:12:207","01:01:022","true","false"
02,"MARRAX","Clockwork Turbo","03:32:287","01:05:719","true","true"
03,"K6","Clockwork Rod","03:36:313","01:05:570","true","true"
04,"MACACOSKY","Clockwork Rod","03:38:243","01:09:504","true","true"
05,"ESTEBANMZ","Clockwork Rod","03:40:477","01:07:643","true","true"
06,"LOQ","Clockwork Rod","03:41:612","01:11:991","true","true"
07,"TT","Clockwork Peak","03:42:416","01:11:452","true","true"
08,"GORGON","Clockwork Midget","03:43:525","01:12:030","true","true"
09,"HONKA","Clockwork Peak","03:51:839","01:13:890","true","true"
10,"KIKI","Clockwork Trial","04:02:063","01:15:164","true","true"
11,"NUC","Clockwork Trial","04:02:748","01:18:112","true","true"
Results,"Metro-Volt: Redux",11
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","02:40:362","00:52:486","true","false"
02,"MARRAX","Clockwork Turbo","02:49:431","00:55:153","true","true"
03,"LOQ","Clockwork Rod","02:56:645","00:57:933","true","true"
04,"HONKA","Clockwork Peak","02:56:913","00:57:081","true","true"
05,"KIKI","Clockwork Trial","03:01:949","00:57:959","true","true"
06,"ESTEBANMZ","Clockwork Rod","03:05:186","00:56:385","true","true"
07,"TT","Clockwork Super","03:06:630","00:58:683","true","true"
08,"MACACOSKY","Clockwork Rod","03:10:575","00:59:593","true","true"
09,"K6","Clockwork Rod","03:17:810","00:57:700","true","true"
10,"NUC","Clockwork Trial","03:19:151","01:03:103","true","true"
11,"GORGON","Clockwork Midget","17:31:550","05:00:000","false","true"
Results,"Museum 1",12
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GORGON","Clockwork Midget","03:24:006","01:04:402","true","true"
02,"ESTEBANMZ","Clockwork Rod","03:32:458","01:03:117","true","true"
03,"BGM","Clockwork Turbo","03:38:451","01:08:625","true","false"
04,"LOQ","Clockwork Rod","03:42:004","01:12:921","true","true"
05,"MACACOSKY","Clockwork Rod","03:44:153","01:11:191","true","true"
06,"IL ANTELCULAZO","Clockwork Rally","03:51:324","01:06:881","true","true"
07,"K6","Clockwork Rod","03:53:853","01:15:968","true","true"
08,"KIKI","Clockwork Trial","03:58:385","01:16:601","true","true"
09,"HONKA","Clockwork Peak","04:02:387","01:05:438","true","true"
10,"TT","Clockwork Super","04:04:970","01:15:403","true","true"
11,"MARRAX","Clockwork Turbo","04:05:262","01:18:084","true","true"
12,"NUC","Clockwork Trial","04:07:784","01:13:985","true","true"
Results,"Helios/Lunar",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","02:37:440","00:49:311","true","false"
02,"KIKI","Clockwork Trial","02:42:753","00:52:102","true","true"
03,"LOQ","Clockwork Rod","02:43:019","00:51:864","true","true"
04,"ESTEBANMZ","Clockwork Rod","02:52:145","00:56:219","true","true"
05,"GORGON","Clockwork Midget","02:54:951","00:55:927","true","true"
06,"HONKA","Clockwork Peak","02:56:511","00:54:253","true","true"
07,"MARRAX","Clockwork Turbo","02:57:804","00:58:003","true","true"
08,"TT","Clockwork Super","02:59:870","00:55:846","true","true"
09,"K6","Clockwork Rod","03:01:254","00:58:900","true","true"
10,"IL ANTELCULAZO","Clockwork Rally","03:02:287","00:59:562","true","true"
11,"MACACOSKY","Clockwork Rod","03:06:309","00:56:550","true","true"
12,"NUC","Clockwork Trial","03:10:990","00:58:743","true","true"
Results,"PetroVolt: Redux",12
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","03:41:440","01:09:901","true","false"
02,"GORGON","Clockwork Midget","03:43:441","01:12:404","true","true"
03,"MARRAX","Clockwork Turbo","03:48:853","01:12:498","true","true"
04,"HONKA","Clockwork Peak","03:52:467","01:13:529","true","true"
05,"MACACOSKY","Clockwork Rod","03:56:174","01:15:474","true","true"
06,"ESTEBANMZ","Clockwork Rod","04:00:673","01:16:048","true","true"
07,"KIKI","Clockwork Trial","04:04:469","01:18:727","true","true"
08,"LOQ","Clockwork Rod","04:04:537","01:20:286","true","true"
09,"TT","Clockwork Super","04:06:054","01:17:501","true","true"
10,"IL ANTELCULAZO","Clockwork Rally","04:06:788","01:17:390","true","true"
11,"K6","Clockwork Rod","04:07:878","01:19:591","true","true"
12,"NUC","Clockwork Trial","04:27:977","01:27:148","true","true"
Results,"SuperMarket 1",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GORGON","Clockwork Midget","02:08:108","00:40:777","true","true"
02,"BGM","Clockwork Turbo","02:10:458","00:39:144","true","false"
03,"KIKI","Clockwork Trial","02:14:894","00:41:347","true","true"
04,"MACACOSKY","Clockwork Rod","02:16:561","00:41:286","true","true"
05,"HONKA","Clockwork Peak","02:17:679","00:41:625","true","true"
06,"ESTEBANMZ","Clockwork Rod","02:18:444","00:40:849","true","true"
07,"IL ANTELCULAZO","Clockwork Rally","02:19:822","00:42:939","true","true"
08,"LOQ","Clockwork Rod","02:19:857","00:43:494","true","true"
09,"NUC","Clockwork Trial","02:34:579","00:46:167","true","true"
10,"G5","Clockwork Trial","02:49:342","00:49:438","true","true"
11,"K6","Clockwork Rod","03:22:039","00:53:408","false","true"
12,"TT","Clockwork Super","07:41:487","00:52:361","false","true"
13,"MARRAX","Clockwork Turbo","19:24:819","05:00:000","false","true"
Results,"School's Out! 1",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","01:47:486","00:35:069","true","false"
02,"IL ANTELCULAZO","Clockwork Rally","01:52:034","00:35:480","true","true"
03,"MARRAX","Clockwork Turbo","01:57:415","00:36:818","true","true"
04,"HONKA","Clockwork Peak","02:00:184","00:38:518","true","true"
